Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
"Retrieve a list of all Task records where date_submitted is Approved, fetching status and status, sorted by status in descending order.","frappe.get_list(""Task"", filters={""date_submitted"": ""Approved""}, fields=[""status"", ""status""], order_by=""status desc"")",116,Medium,"Can you fetch a list of all Task records where date_submitted is Approved, fetching status and status, sorted by status in descending order."
"Retrieve a list of all Expense Claim records where subject is Approved, fetching creation and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Approved""}, fields=[""creation"", ""date_submitted""], order_by=""date_submitted desc"")",136,Complex,"Can you fetch a list of all Expense Claim records where subject is Approved, fetching creation and date_submitted, sorted by date_submitted in descending order."
Get a list of all IT Ticket records.,"frappe.get_list(""IT Ticket"", fields=[""name""])",45,Simple,Can you list all IT Ticket records.
Find all Employee records placed between 2023-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""count"", ""between"", [""2023-01-01"", ""2023-03-31""})",87,Medium,Find all Employee records placed between 2023-01-01 and 2023-03-31 (both inclusive).
"Retrieve a list of all Expense Claim records where status is Pending, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Expense Claim"", filters={""status"": ""Pending""}, fields=[""subject"", ""status""], order_by=""status desc"")",117,Medium,"Can you fetch a list of all Expense Claim records where status is Pending, fetching subject and status, sorted by status in descending order."
Find all Employee records placed between 2024-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""transaction_date"", ""between"", [""2024-01-01"", ""2023-03-31""})",98,Medium,Find all Employee records placed between 2024-01-01 and 2023-03-31 (both inclusive).
Find all Employee records placed between 2023-06-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Employee"", filters={[""subject"", ""between"", [""2023-06-01"", ""2024-12-31""})",89,Medium,Find all Employee records placed between 2023-06-01 and 2024-12-31 (both inclusive).
"Retrieve the first 20 Purchase Order records where priority is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Lead""}, fields=[""priority"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",158,Complex,"Can you fetch the first 20 Purchase Order records where priority is Lead, sorted by status in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve a list of all Issue records where status is Approved, fetching creation and subject, sorted by subject in descending order.","frappe.get_list(""Issue"", filters={""status"": ""Approved""}, fields=[""creation"", ""subject""], order_by=""subject desc"")",113,Medium,"Can you fetch a list of all Issue records where status is Approved, fetching creation and subject, sorted by subject in descending order."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get all Timesheet records submitted after 2023-06-01.,"frappe.get_list(""Timesheet"", filters={""creation"": ["">"", ""2023-06-01""]})",71,Medium,Get all Timesheet records submitted after 2023-06-01.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Stock Entry records where priority is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Supervisor""}, fields=[""count"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Stock Entry records where priority is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
"Retrieve the first 20 Sales Order records where transaction_date is Supervisor, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""transaction_date"": ""Supervisor""}, fields=[""count"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",166,Complex,"Can you fetch the first 20 Sales Order records where transaction_date is Supervisor, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where count is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""count"": ""Lead""}, fields=[""priority"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",155,Complex,"Can you fetch the first 20 Purchase Order records where count is Lead, sorted by status in descending order, starting from the 10th record."
Get a list of all Manufacturing Order records.,"frappe.get_list(""Manufacturing Order"", fields=[""name""])",55,Simple,Can you list all Manufacturing Order records.
"Retrieve a list of all Issue records where status is Approved, fetching subject and subject, sorted by subject in descending order.","frappe.get_list(""Issue"", filters={""status"": ""Approved""}, fields=[""subject"", ""subject""], order_by=""subject desc"")",112,Medium,"Can you fetch a list of all Issue records where status is Approved, fetching subject and subject, sorted by subject in descending order."
"Retrieve the first 20 Purchase Order records where priority is Supervisor, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Supervisor""}, fields=[""status"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Purchase Order records where priority is Supervisor, sorted by subject in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Find all Stock Entry records where subject contains Manager.,"frappe.get_list(""Stock Entry"", filters={""subject"": [""like"", ""%Manager%""]})",74,Medium,Find all Stock Entry records where subject contains Manager.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve a list of all Task records where date_submitted is Open, fetching status and subject, sorted by subject in descending order.","frappe.get_list(""Task"", filters={""date_submitted"": ""Open""}, fields=[""status"", ""subject""], order_by=""subject desc"")",114,Medium,"Can you fetch a list of all Task records where date_submitted is Open, fetching status and subject, sorted by subject in descending order."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
"Retrieve a list of all Task records where subject is Approved, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Task"", filters={""subject"": ""Approved""}, fields=[""creation"", ""status""], order_by=""status desc"")",111,Medium,"Can you fetch a list of all Task records where subject is Approved, fetching creation and status, sorted by status in descending order."
Find all Task records placed between 2023-06-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""designation"", ""between"", [""2023-06-01"", ""2023-03-31""})",89,Medium,Find all Task records placed between 2023-06-01 and 2023-03-31 (both inclusive).
"Retrieve the first 20 Purchase Order records where status is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Lead""}, fields=[""priority"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",156,Complex,"Can you fetch the first 20 Purchase Order records where status is Lead, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where priority is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Lead""}, fields=[""status"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",156,Complex,"Can you fetch the first 20 Purchase Order records where priority is Lead, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where transaction_date is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""transaction_date"": ""Lead""}, fields=[""priority"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",168,Complex,"Can you fetch the first 20 Purchase Order records where transaction_date is Lead, sorted by subject in descending order, starting from the 10th record."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve a list of all Issue records where date_submitted is Pending, fetching subject and subject, sorted by subject in descending order.","frappe.get_list(""Issue"", filters={""date_submitted"": ""Pending""}, fields=[""subject"", ""subject""], order_by=""subject desc"")",119,Medium,"Can you fetch a list of all Issue records where date_submitted is Pending, fetching subject and subject, sorted by subject in descending order."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Employee records where designation is Manager, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""designation"": ""Manager""}, fields=[""count"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Employee records where designation is Manager, sorted by subject in descending order, starting from the 10th record."
Find all Stock Entry records placed between 2023-01-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""transaction_date"", ""between"", [""2023-01-01"", ""2023-12-31""})",101,Medium,Find all Stock Entry records placed between 2023-01-01 and 2023-12-31 (both inclusive).
Find all Task records where designation contains Supervisor.,"frappe.get_list(""Task"", filters={""designation"": [""like"", ""%Supervisor%""]})",74,Medium,Find all Task records where designation contains Supervisor.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get only the user_id of all Employee records.,"frappe.get_list(""Employee"", pluck=""user_id"")",44,Simple,Get only the user_id of all Employee records.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get a list of all Sales Inquiry records.,"frappe.get_list(""Sales Inquiry"", fields=[""name""])",49,Simple,Can you list all Sales Inquiry records.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
"Retrieve a list of all Task records where date_submitted is Pending, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Task"", filters={""date_submitted"": ""Pending""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",127,Complex,"Can you fetch a list of all Task records where date_submitted is Pending, fetching date_submitted and creation, sorted by creation in descending order."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve a list of all Timesheet records where creation is Open, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Open""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",123,Complex,"Can you fetch a list of all Timesheet records where creation is Open, fetching date_submitted and creation, sorted by creation in descending order."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve the first 20 Employee records where priority is Director, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""priority"": ""Director""}, fields=[""designation"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",163,Complex,"Can you fetch the first 20 Employee records where priority is Director, sorted by priority in descending order, starting from the 10th record."
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
"Retrieve the first 20 Purchase Order records where designation is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""designation"": ""Lead""}, fields=[""priority"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",159,Complex,"Can you fetch the first 20 Purchase Order records where designation is Lead, sorted by count in descending order, starting from the 10th record."
Find all Stock Entry records placed between 2023-06-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""transaction_date"", ""between"", [""2023-06-01"", ""2024-12-31""})",101,Medium,Find all Stock Entry records placed between 2023-06-01 and 2024-12-31 (both inclusive).
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
"Retrieve a list of all Leave Application records where subject is Approved, fetching creation and status, sorted by status in descending order.","frappe.get_list(""Leave Application"", filters={""subject"": ""Approved""}, fields=[""creation"", ""status""], order_by=""status desc"")",124,Complex,"Can you fetch a list of all Leave Application records where subject is Approved, fetching creation and status, sorted by status in descending order."
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Find all Task records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""count"", ""between"", [""2022-04-01"", ""2024-06-30""})",83,Medium,Find all Task records placed between 2022-04-01 and 2024-06-30 (both inclusive).
"Retrieve a list of all Issue records where status is Approved, fetching subject and status, sorted by status in descending order.","frappe.get_list(""Issue"", filters={""status"": ""Approved""}, fields=[""subject"", ""status""], order_by=""status desc"")",110,Medium,"Can you fetch a list of all Issue records where status is Approved, fetching subject and status, sorted by status in descending order."
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
"Retrieve a list of all Leave Application records where date_submitted is Open, fetching status and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Leave Application"", filters={""date_submitted"": ""Open""}, fields=[""status"", ""date_submitted""], order_by=""date_submitted desc"")",141,Complex,"Can you fetch a list of all Leave Application records where date_submitted is Open, fetching status and date_submitted, sorted by date_submitted in descending order."
Find all Task records placed between 2024-01-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""priority"", ""between"", [""2024-01-01"", ""2023-12-31""})",86,Medium,Find all Task records placed between 2024-01-01 and 2023-12-31 (both inclusive).
Find all Sales Order records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""subject"", ""between"", [""2022-04-01"", ""2024-06-30""})",92,Medium,Find all Sales Order records placed between 2022-04-01 and 2024-06-30 (both inclusive).
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Sales Order records where status is Supervisor, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""status"": ""Supervisor""}, fields=[""priority"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",157,Complex,"Can you fetch the first 20 Sales Order records where status is Supervisor, sorted by count in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Find all Task records placed between 2023-06-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""transaction_date"", ""between"", [""2023-06-01"", ""2023-12-31""})",94,Medium,Find all Task records placed between 2023-06-01 and 2023-12-31 (both inclusive).
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Employee records where status is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""status"": ""Director""}, fields=[""count"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",151,Complex,"Can you fetch the first 20 Employee records where status is Director, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Stock Entry records where priority is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""priority"": ""Lead""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",151,Complex,"Can you fetch the first 20 Stock Entry records where priority is Lead, sorted by count in descending order, starting from the 10th record."
Find all Sales Order records placed between 2024-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Sales Order"", filters={[""designation"", ""between"", [""2024-01-01"", ""2024-12-31""})",96,Medium,Find all Sales Order records placed between 2024-01-01 and 2024-12-31 (both inclusive).
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve a list of all Timesheet records where status is Open, fetching subject and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Timesheet"", filters={""status"": ""Open""}, fields=[""subject"", ""date_submitted""], order_by=""date_submitted desc"")",126,Complex,"Can you fetch a list of all Timesheet records where status is Open, fetching subject and date_submitted, sorted by date_submitted in descending order."
"Retrieve the first 20 Purchase Order records where priority is Lead, sorted by designation in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""priority"": ""Lead""}, fields=[""count"", ""designation""], order_by=""designation desc"", start=10, page_length=20, as_list=True)",165,Complex,"Can you fetch the first 20 Purchase Order records where priority is Lead, sorted by designation in descending order, starting from the 10th record."
"Retrieve the first 20 Stock Entry records where status is Director, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""status"": ""Director""}, fields=[""subject"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",156,Complex,"Can you fetch the first 20 Stock Entry records where status is Director, sorted by status in descending order, starting from the 10th record."
"Retrieve a list of all Leave Application records where creation is Approved, fetching creation and date_submitted, sorted by date_submitted in descending order.","frappe.get_list(""Leave Application"", filters={""creation"": ""Approved""}, fields=[""creation"", ""date_submitted""], order_by=""date_submitted desc"")",141,Complex,"Can you fetch a list of all Leave Application records where creation is Approved, fetching creation and date_submitted, sorted by date_submitted in descending order."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Find all Stock Entry records placed between 2023-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""status"", ""between"", [""2023-01-01"", ""2024-06-30""})",91,Medium,Find all Stock Entry records placed between 2023-01-01 and 2024-06-30 (both inclusive).
"Retrieve a list of all Leave Application records where subject is Pending, fetching creation and subject, sorted by subject in descending order.","frappe.get_list(""Leave Application"", filters={""subject"": ""Pending""}, fields=[""creation"", ""subject""], order_by=""subject desc"")",125,Complex,"Can you fetch a list of all Leave Application records where subject is Pending, fetching creation and subject, sorted by subject in descending order."
Find all Stock Entry records placed between 2024-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""status"", ""between"", [""2024-01-01"", ""2023-03-31""})",91,Medium,Find all Stock Entry records placed between 2024-01-01 and 2023-03-31 (both inclusive).
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Count the number of Stock Entry records grouped by their status.,"frappe.get_list(""Stock Entry"", fields=[""count(""""""name"""""") as count"", ""status""], group_by=""status"")",98,Medium,Count the number of Stock Entry records grouped by their status.
Find all Purchase Order records placed between 2024-01-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""designation"", ""between"", [""2024-01-01"", ""2023-12-31""})",99,Medium,Find all Purchase Order records placed between 2024-01-01 and 2023-12-31 (both inclusive).
"Retrieve a list of all Timesheet records where subject is Open, fetching creation and subject, sorted by subject in descending order.","frappe.get_list(""Timesheet"", filters={""subject"": ""Open""}, fields=[""creation"", ""subject""], order_by=""subject desc"")",114,Medium,"Can you fetch a list of all Timesheet records where subject is Open, fetching creation and subject, sorted by subject in descending order."
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Find all Stock Entry records placed between 2023-06-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Stock Entry"", filters={[""subject"", ""between"", [""2023-06-01"", ""2023-12-31""})",92,Medium,Find all Stock Entry records placed between 2023-06-01 and 2023-12-31 (both inclusive).
Find all Purchase Order records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""priority"", ""between"", [""2022-04-01"", ""2024-06-30""})",96,Medium,Find all Purchase Order records placed between 2022-04-01 and 2024-06-30 (both inclusive).
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get only the supplier_name of all Stock Entry records.,"frappe.get_list(""Stock Entry"", pluck=""supplier_name"")",53,Simple,Get only the supplier_name of all Stock Entry records.
"Retrieve the first 20 Stock Entry records where count is Lead, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Lead""}, fields=[""transaction_date"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Stock Entry records where count is Lead, sorted by subject in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of all Supplier Discount records.,"frappe.get_list(""Supplier Discount"", fields=[""name""])",53,Simple,Can you list all Supplier Discount records.
"Retrieve the first 20 Stock Entry records where status is Director, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""status"": ""Director""}, fields=[""priority"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",177,Complex,"Can you fetch the first 20 Stock Entry records where status is Director, sorted by transaction_date in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Find all Task records placed between 2023-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""count"", ""between"", [""2023-01-01"", ""2024-06-30""})",83,Medium,Find all Task records placed between 2023-01-01 and 2024-06-30 (both inclusive).
"Retrieve a list of all Timesheet records where creation is Approved, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Approved""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",127,Complex,"Can you fetch a list of all Timesheet records where creation is Approved, fetching date_submitted and creation, sorted by creation in descending order."
"Retrieve the first 20 Sales Order records where priority is Manager, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""priority"": ""Manager""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",154,Complex,"Can you fetch the first 20 Sales Order records where priority is Manager, sorted by count in descending order, starting from the 10th record."
Find all Employee records placed between 2022-04-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Employee"", filters={[""priority"", ""between"", [""2022-04-01"", ""2024-06-30""})",90,Medium,Find all Employee records placed between 2022-04-01 and 2024-06-30 (both inclusive).
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
